序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
570,信息技术产品,旅行用插头适配器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/7/8,插座插孔没有挡板保护，使用者可能因此接触到带电部件。
571,信息技术产品,视讯电话,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击,中国,2016/7/8,变压器的主电路和次电路之间的电气间隙和爬电距离不足，这会导致可接触部件产生电源电压。
572,家用电器及电器附件,浸没式加热器,14岁~60岁,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/7/12,当加热器浸入液体中时，液体可能会被通电，造成用户被电击的危险。
573,纺织品及服装鞋帽,小地毯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,燃烧,中国,2016/7/13,加拿大卫生部抽样评估程序确定此次召回的地毯不符合大型室内地毯可燃性的要求。
574,家具及建筑装饰装修材料,落地灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,短路,是,火灾、触电,中国,2016/7/14,由于插座有缺陷，电灯可能会短路并造成火灾和触电的危险。
575,儿童用品,儿童汽车安全座椅,37岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/7/15,座椅的塑料外壳在交通事故或是车辆突然制动时会破裂，阻碍座椅对孩子的有效约束作用
576,儿童用品,儿童汽车安全座椅,38岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/7/15,座椅的塑料外壳在交通事故或是车辆突然制动时会破裂，阻碍座椅对孩子的有效约束作用。
577,儿童用品,水枪,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,镉及其化合物,是,环境,中国,2016/7/15,包装含有镉（测得占重高达0.0361%）
578,儿童用品,玩具短号,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/7/15,短号的吹口是小部件，容易脱落，儿童可能将其吞咽而造成呛噎。
579,儿童用品,玩具篮球套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/15,套装中的篮球有DBP（测得占重高达0.16％）。这种邻苯二甲酸酯可能会损害儿童健康，导致生殖系统受损。
580,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/7/15,该产品不防潮湿，却被建议户外使用。
581,日用杂品,烟花,14岁~60岁,男女均可使用,高温环境,正确的使用方式,噪声危害,脉冲性噪音危害,脉冲性噪音危害,是,烧伤，听力受损,中国,2016/7/15,烟花引线燃烧时间太长，或一些独立的闪光爆竹在燃烧过程中会产生爆炸。倘若引爆燃烧时间延迟，使用者可能返回检查产品并被意外爆炸灼伤或遭受近距离的高分贝噪声的伤害。
582,文教体育用品,赛马头盔,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,移动状态撞击,是,受伤,中国,2016/7/15,头盔的顶部不能充分缓冲冲击力，导致系戴头盔者在坠落事故中会头部受伤。
583,文教体育用品,自平衡滑板车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击，火灾,中国,2016/7/15,变压器的初级和次级电路之间电气间隙和爬电距离太短，导致使用者因接触产品的带电部件遭受电击，或引起火灾。
584,信息技术产品,USB连接线,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,是,环境,中国,2016/7/15,USB连接线的焊料中铅含量过高（测量值达：26%）。产品的废弃处理将对环境造成危害。
585,信息技术产品,USB连接线,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,是,环境,中国,2016/7/15,USB连接线的焊料中铅含量过高（测量值达：42%）。产品的废弃处理将对环境造成危害。
586,信息技术产品,笔记本电脑电池,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾,中国,2016/7/15,电池组容易过热引起火灾。
587,信息技术产品,充电器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击，火灾,中国,2016/7/15,变压器的初级绕组和次级绕组之间的绝缘性不足，发生闪络的可能性极高。如果闪络发生，为电池充电的外露金属部件将产生电源电压。这意味着，如果使用者接触到金属部分可能遭受电击。此外，如果电池使用充电器充电时，电池可能会对高电压剧烈反应导致火灾。
588,家用电器及电器附件,净水机,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾,中国,2016/7/19,饮水机可能会过热并引起内部零件熔化及冒烟，可能会造成着火及火。
589,交通工具及相关产品,自行车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,摔倒,中国,2016/7/19,前车轮毂上的快拆杆在不正确的调整或打开状态下可能会接触到前面的碟刹总成，造成前车轮突然停止或从车身脱离，有导致用户摔伤的危险。
590,日用杂品,拉力计,14岁~61岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,撞伤、割伤,中国,2016/7/19,在使用过程中，拉力计上的金属环可能会断裂，造成撞伤和割伤的危险。
591,日用杂品,项链和手镯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,是,化学,中国,2016/7/19,手镯、项链扣、吊坠的光亮表面涂层铅含量超标，有潜在的化学危险。
592,儿童用品,婴儿监视器,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,烧伤,中国,2016/7/21,监视器的电池可能过热并膨胀，造成电池盖打开或脱落，可能导致着火的危险。
593,交通工具及相关产品,通勤自行车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/7/21,自行车前叉轴可能会断裂，造成摔倒的危险。
594,信息技术产品,婴儿监视器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾,中国,2016/7/21,监视器的电池可能过热并膨胀，造成电池盖打开或脱落，可能导致着火的危险。
595,儿童用品,拼图垫,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/7/22,拼图垫含有小部件（一些字母和数字），幼童可能将其放进口中，造成呛噎。
596,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/22,娃娃的塑性材料中含有DEHP（测得占重18.7%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。
597,儿童用品,塑料玩具动物,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/7/22,小部件（虫子触角）容易从玩具上脱落，幼童 可能将其放入嘴里，造成呛噎。
598,儿童用品,塑料玩具动物,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/7/22,鱼尾巴上的小部件容易脱落 ，幼童可能将其放进口中，造成呛噎。
599,儿童用品,指画颜料,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/7/22,瓶子的管嘴容易脱落，产生小部件，幼童可能将其放入嘴里，造成呛噎。
600,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/7/22,电线可以轻易从灯内抽出，使带电部件外露。
601,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,电气爆炸,短路,是,火灾,中国,2016/7/22,该产品不防潮，却被建议户外使用。这可能会造成短路和火灾。
602,家具及建筑装饰装修材料,卤素泛光灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击，火灾,中国,2016/7/22,灯壳和接线盒容易破裂，可能使得带电部件被触碰到，或者引起短路和火灾。
603,日化,装饰性蜡烛,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/7/22,该蜡烛由于其形状特征、颜色和尺寸，可能会被误认为是食品。小部件易从产品上脱落，这可能使得儿童将其放进口中，误吞咽下。
604,日用杂品,耳环,不限年龄段,女,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,镉及其化合物,是,化学,中国,2016/7/22,该金属含有镉（测得占重1.7%）。镉对人体健康有害，因为它会在体内积聚并损害器官，导致癌症。
605,其他 ,肩颈热敷包,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烫伤,中国,2016/7/27,热敷包过热，可能造成烫伤的危险。
606,纺织品及服装鞋帽,烤箱手套,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烫伤,中国,2016/7/28,烤箱手套热保护不足，可能造成烫伤的危险。
607,其他,发电机,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,明火,是,火灾,中国,2016/7/28,发电机内的电池可能会起火，会对用户或路人造成火灾危险。
608,日用杂品 ,烤箱手套,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烫伤,中国,2016/7/28,烤箱手套热保护不足，可能造成烫伤的危险。
609,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/29,产品含有DEHP（测得占重17.5%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。该产品还含有邻苯二甲酸二异壬酯（DINP）（测得占重高达1.3%）。
610,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/29,产品含有DEHP（测得占重20%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。
611,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/29,娃娃头部的塑性材料含有DEHP（测得占重12.8%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。娃娃头部的塑性材料还含有DINP（测得占重20.2%）。
612,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/29,娃娃头部的塑性材料含有DEHP（测得占重32.4%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。
613,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/29,娃娃头部的塑性材料含有DEHP（测得占重34.5%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。
614,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/7/29,娃娃头部的塑性材料含有DEHP（测得占重高达25.5%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。
615,儿童用品,贴纸,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,其它,是,环境,中国,2016/7/29,贴纸的塑性材料含有短链氯化石蜡（SCCPs）（测得占重高达1.4%）。禁止在市场上销售和使用含有SCCPs的物品。SCCPs可持久存在于环境中，低浓度即对水生生物有毒性，对野生动物和人类具有生物累积性，对人类健康和环境构成风险。
616,儿童用品,贴纸,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学，环境,中国,2016/7/29,玩具含有DEHP（测得值：6.7%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。贴纸还含有短链氯化石蜡（SCCPs）（测得值：0.9%）。禁止在市场上销售和使用含有SCCPs的物品。SCCPs持久存在于环境中，低浓度即对水生生物具有毒性，对野生动物和人类具有生物累积性，对人类健康和环境构成风险。
617,儿童用品,玩具折叠式婴儿车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/7/29,该产品虽有安全锁，但易垮塌，进而存在被夹伤的风险，主要是手指在活动部件之间被夹伤。
618,家具及建筑装饰装修材料,LED泛光灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/7/29,电池充电器的初级绕组和次级绕组之间的绝缘性不足。充电器的机械强度不足，带电部件可能被接触到。
619,家具及建筑装饰装修材料,头灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击,中国,2016/7/29,变压器的主电路和二次电路之间的绝缘和爬电距离不足。带电部件可能被接触到。
620,家用电器及电器附件,多用插头/电线延长线,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/7/29,该产品没有挡板保护，消费者容易接触到带电部件。
621,其他 ,车载电源逆变器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/7/29,逆变器的三孔插座没有挡板保护，因此带电部件外露且容易被消费者接触到。
622,其他 ,摩托车头盔,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,移动状态撞击,是,受伤,中国,2016/7/29,头盔吸收碰撞能量的性能不足。
623,信息技术产品,电池充电器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击,中国,2016/7/29,变压器的主电路和二次电路之间的绝缘和爬电距离不足。带电部件可被接触到。
624,食品相关产品,不锈钢吸管,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,尖角,是,戳伤,中国,2016/8/2,不钢吸管质地坚硬，可能会戳伤儿童的口腔，造成损伤的危险。
625,食品相关产品,吸管,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,尖角,是,刺伤,中国,2016/8/2,不锈钢吸管很坚硬，可能刺伤儿童的嘴巴，存在受伤的危险。
626,文教体育用品,吊床,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/8/2,使用时吊环焊接处会裂缝，造成吊床自由坠落，导致用户摔倒的危险。
627,文教体育用品,自平衡滑板车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,烧伤,中国,2016/8/4,滑板车的锂离子电池可能过热，存在潜在的烧伤和火灾的危险。
628,儿童用品,(幼童坐的)木制高脚椅,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎，受伤,中国,2016/8/5,儿童约束系统不足，儿童可能会从高脚椅上摔落。此外，托盘紧固装置上的弹簧容易脱落，产生小部件，儿童可能将其放入口中，导致呛噎。由于不当的锁定装置，托盘易被移动，并且高脚椅上存在缝隙和孔洞，会造成受伤的风险 。
629,儿童用品,木制玩具,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/8/5, 玩具含有小部件，幼童可能将其放入口中，造成呛噎的危险。
630,儿童用品,膨胀玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎，受伤,中国,2016/8/5,海绵橡胶恐龙胶囊 可能会被儿童放入口中误食。随着玩具膨胀，其可能会造成幼童呼吸道致命性的闭塞及肠道阻塞。
631,儿童用品,气球,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/8/5,气球所释放的亚硝胺含量过高（测得占重高达0.31mg/kg）。儿童可将气球放入口中吹气或吸气，而通过吸入和摄入的亚硝胺是具有致癌性的。
632,儿童用品,沙滩玩具套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/8/5,小部件（例如耙上的叉齿）容易脱落，幼童可能将其放入口中，造成呛噎。
633,儿童用品,玩具枪,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,噪声危害,变动性噪音危害,变动性噪音危害,是,听力受损,中国,2016/8/5,玩具的声压级过高，可能会造成听力受损。
634,儿童用品,玩具挖掘机,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/8/5,小部件易从玩具挖掘机脱落（例如挖掘机的挖斗，后轮），幼童可能将其放入口中，造成呛噎。
635,儿童用品,玩具折叠式婴儿车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,割伤，受伤,中国,2016/8/5,支撑车座的金属管缺乏适当的保护，儿童玩耍时可能会被刺伤。此外，婴儿车存在锋利的尖角和边缘，会造成割伤。
636,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击，火灾,中国,2016/8/5,该产品不防潮，却被建议在户外使用。渗水可能引起触电或导致火灾。
637,家用电器及电器附件,纸杯蛋糕机,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/8/5,该电器的机械阻力不足且带电部件可被接触，使用者可能遭受电击。
638,交通工具及相关产品 ,电动自行车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,移动状态撞击,是,受伤,中国,2016/8/5,后轮制动鼓可能突然失去制动力，造成骑行者摔倒及受伤。
639,其他 ,小型摩托车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/8/5,在生产过程中阀杆的加工处理不正确可能会导致失去前悬挂能力，引发事故。
640,日用杂品,耳环,不限年龄段,女,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,镉及其化合物,是,化学,中国,2016/8/5,耳环含镉（测得占重57％）。镉对人体健康有害，因为其在体内聚积后会损害器官，并可能引起癌症。
641,日用杂品,烟花,14岁~60岁,男女均可使用,高温环境,正确的使用方式,噪声危害,脉冲性噪音危害,脉冲性噪音危害,是,听力受损,中国,2016/8/5,烟花声压级过高，可导致听力受损。
642,信息技术产品,电子手表和激光指示器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,是,视力受损,中国,2016/8/5,激光指示器的光束太强且产品未正确贴标。直视激光光束可能会损伤视力。
643,信息技术产品,激光指示器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,是,视力受损,中国,2016/8/5,激光指示器的光束太强且可能会损伤视力。
644,家用电器及电器附件,老式爆米花机,14岁~60岁,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,短路,是,电击、火灾,中国,2016/8/8,非接地插头在插入时，部分插座可能短路并冒火花，存在潜在的电击或火灾的危险。
645,家具及建筑装饰装修材料,旋转椅,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/8/9,正常使用时转椅底座可能会断裂，会造成摔倒的危险。
646,家具及建筑装饰装修材料,旋转椅,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/8/9,正常使用时转椅底座可能会断裂，会造成摔倒的危险。
647,日用杂品,手表,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烧伤,中国,2016/8/10,手表可能过热，导致消费者烧伤。
648,食品相关产品,"威士忌玻璃器皿及石制礼品套装
",不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,割伤,中国,2016/8/10,威士忌玻璃器皿在使用过程中会自然破裂，造成用户被割伤的危险。
649,纺织品及服装鞋帽,连衫裤,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/8/11,连衫裤的金属按扣可能脱落，造成儿童哽噎。
650,其他,丝网紧线器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,割伤,中国,2016/8/11,卷丝可能会从丝网紧线器上意外松脱并打到其旁边的人，造成割伤的危险。
651,日用杂品 ,紧线器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,割伤,中国,2016/8/11,卷丝可能会从丝网紧线器上意外松脱并打到其旁边的人，造成割伤的危险。
652,儿童用品,奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/8/12,木盘可能会从金属片上脱落，造成儿童窒息的危险。
653,儿童用品,男童运动衫,37个月~96个月,男,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,勒毙,中国,2016/8/12,运动衫颈部区域的帽绳可能成为儿童各种活动中的羁绊，导致勒毙。
654,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/8/12,娃娃的塑料材料中含有DEHP（头部材料测得占重高达31.56%）和DBP（手部材料测得占重0.14%）。这些邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。此外，娃娃手部材料中含有DIDP（测得占重高达0.27%）和DINP（测得占重高达2.05%）。
655,儿童用品,塑料娃娃（带糖果）,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/8/12,娃娃的塑料材料中含有DEHP和DBP（娃娃头部和鞋子分别测得占重34.1%和4.2%）。这些邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。此外，娃娃鞋子中还含有DINP（测得占重0.2%）。
656,儿童用品,童款太阳镜,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎，割伤,中国,2016/8/12,眼镜框上的塑料花可能会脱落，露出锋利的螺丝钉，对幼童构成割伤和呛噎的风险。
657,儿童用品,娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,,中国,2016/8/12,娃娃的塑料材料中含有DEHP和DBP（测得头部和手部材料分别占重32.12%和4.97%）。这些邻苯二甲酸盐可能会危害儿童的健康，对生殖系统造成损害。此外，娃娃含有DIDP和DINP（测得靴子和手部材料分别占重0.25%和33.99%）。
658,儿童用品,娃娃套装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/8/12,娃娃的头部材料中含有DEHP（占重34.751%）。这种邻苯二甲酸盐可能会危害儿童的健康，对生殖系统造成损害。
659,儿童用品,玩具枪套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/8/12,红色吸盘材料中含有DEHP（测得占重0.729%）。这种邻苯二甲酸盐可能会损害儿童的健康，对生殖系统造成损害。此外，产品中含有DINP（测得占重0.729%和0.236%）。
660,儿童用品,玩具手机,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,噪声危害,变动性噪音危害,变动性噪音危害,是,听力受损,中国,2016/8/12,玩具手机的声压级水平过高，因此可能会损伤听力。
661,儿童用品,婴儿充气救生背心,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,是,溺死,中国,2016/8/12,有关产品使用、警告及标识的信息不足，无法确保产品被安全、正确地使用。
662,儿童用品,婴儿袜,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/8/12,童袜上的小绒球易脱落，幼童可能将其放入口中，造成呛噎。
663,儿童用品,油灰橡皮泥,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,化学,中国,2016/8/12,橡皮泥会释放过量的硼（测得值：绿色为2204mg/kg，橘色为2099mg/kg，黄色为2028，粉色为1893mg/kg）。摄入或接触过量的硼会对生殖系统造成损害，危害儿童健康。
664,纺织品及服装鞋帽 ,皮革工作手套,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铬及其化合物,是,化学,中国,2016/8/12,皮革中的六价铬含量过高（测得平均含量为6.3mg/kg）。六价铬具有致敏性，可能会引发过敏反应。
665,家用电器及电器附件, 电热器,14岁~60岁,男女均可使用,高温环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾,中国,2016/8/12,电热器不稳定，可能会过热造成火灾。
666,家用电器及电器附件,迷你风扇,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,旋转部件牵扯,是,割伤,中国,2016/8/12,风扇的前网罩易弯曲变形，使得金属扇叶可容易被接触到。使用风扇时，使用者可能因此被旋转的扇叶割伤。
667,交通工具及相关产品 ,自行车托架,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,受伤,中国,2016/8/12,自行车托架夹紧装置的缺陷可能会造成自行车从托架子上松脱，坠落到路面并影响后面的交通。
668,其他 ,摩托车头盔,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,移动状态撞击,是,受伤,中国,2016/8/12,由于头盔吸收侧面碰撞能量的性能不足，其无法提供适当保护。
669,文教体育用品,充气臂环,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,是,溺死,中国,2016/8/12,产品仅有一个充气囊，这可能致使儿童有溺水的风险。此外，有关产品使用、警告及标识的信息不足，无法确保产品被安全、正确地使用。
670,文教体育用品,充气垫,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,是,溺死,中国,2016/8/12,有关产品使用、警告及标识的信息不足，无法确保产品被安全、正确地使用。
671,文教体育用品,充气救生背心,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,是,溺死,中国,2016/8/12,有关产品使用、警告及标识的信息不足，无法确保产品被安全、正确地使用。
672,文教体育用品,攀登安全带,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,受伤,中国,2016/8/12,腰带扣在负重时可能会滑落，造成攀登者从高处坠落，导致严重受伤或身亡。
673,儿童用品,婴儿手推车,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,摔倒,中国,2016/8/17,如果前轮未正确安装，可能松动并脱落，存在碰撞并摔倒的风险。
674,儿童用品,布绒玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/8/19,娃娃的鼻子和衣服上的纽扣可以轻易被拆卸。儿童可能将其放入口中，造成呛噎。
