序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,产品存在的一级危害因素,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
187,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,3岁男童双脚站在滚筒洗衣机的边缘，盖板当时没有关上。突然间，孩子失去重心，掉落进桶内被卡住。,
188,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,3岁男童误吞磁力珠导致肠梗阻。,
189,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,5岁女孩误吞两粒强磁力钢珠导致肠穿孔，幸好经医生手术及悉心治疗，小女孩痊愈出院。,
190,家具及建筑装饰装修材料,玻璃门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,骨折,,孩子推开房间中的玻璃推拉门进到里面的房间，身后的玻璃门突然碎裂，飞溅的玻璃碎片正好划伤了他的左侧膝盖，送到医院后被诊断为“左膝髌骨骨折，髌韧带断裂，膝关节破损”。,
191,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,手机主人边充电边玩手机，手机温度增高导致起火。,
192,儿童用品,儿童玩具,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,外耳道阻塞或外耳道炎,,广州一名13岁男孩日前把玩具零件塞入耳道，朱怀文通过内镜检查系统观察到耳道内异物后，在男孩的配合下，终于取出了已经直达鼓膜的异物——8毫米塑料螺母。,
193,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,一名13岁的男孩因为贪玩不慎将双腿卡在了洗衣机脱水桶内。,
194,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,一名8岁女童在玩耍时，不小心掉进自家洗衣机的滚筒内。,
195,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,凌晨家里突然起火冒出浓烟，导致火灾的是一台电冰箱。,
196,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,浦东新区海防新村内发生一起火灾。火灾可能是由电瓶车充电引发。,
197,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,玻璃应力,财产损失,,钢化玻璃非常耐热，不会因为天气热就爆裂，邹女士家的玻璃长期被太阳晒，近期空调开得频繁，最大的可能是室内外温差大导致玻璃爆裂。,
198,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,滁城官塘小区发生一起楼道起火事件，6辆电动车被烧毁。,
199,电子及信息技术产品,手机,小米,小米MIX2,小米,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,小米MIX 2黑色陶瓷版购买时间不超过3个月，在没有任何操作的静止状态下，突然自燃并爆炸，从烧坏的机器来看，手机后盖因高温燃烧碎裂，个别部位已碳化和扭曲。,
200,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,财产损失,,洗衣机正常工作时，顶端的盖板发生爆炸。,
201,日用杂品,打火机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,烧伤,,一男子在餐馆结账后拿出打火机点烟，瞬间打火机爆燃，“火球”覆盖其头部。事件导致其颈部皮肤灼伤，头发烧焦。其推测可能系打火机漏气。,
202,家具及建筑装饰装修材料,家具,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,有机毒物,有毒荃类化合物,甲醛,器官中毒,,海口市民在海口好莱客整体家居店花3万元，购置了衣柜、鞋柜、电视柜等全套家具。商家宣称家具“零甲醛”，但安装完成检测发现柜体内空气甲醛含量超标3倍多。,
203,文教体育用品,平衡车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,骨折,,9岁的奇奇在和几个小朋友玩平衡车时，不小心摔倒在路边，造成“右侧肘关节骨折”。,
204,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,一名7岁小男孩与小朋友玩耍时先后吞服两粒磁力珠，医生手术时发现磁力珠已经导致直肠穿孔。,
205,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,姑苏区虎殿路一小区发生火灾，4辆停放在楼房架空层的电动车被烧毁，多辆电动车受损。根据监控视频看，很有可能是自燃。,
206,文教体育用品,电动滑板车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,北京朝阳区一住户家中电动滑板车燃爆，监控画面记录下爆燃的瞬间，现场火光四起，浓烟充斥着整个客厅。,
207,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,, 2018年7月13日2时39分，房山区河北镇磁家务村大桃园小区4号楼楼外一辆电动自行车起火冒烟，中队到场前事主报称已无明火，无人员伤亡。起火电动车为该楼住户王某停放在该楼北侧通道处的电动自行车，王某通过窗户处接线对电动车进行充电，充电过程中充电器与车体的接口处发生电气故障后起火。,
208,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,  2018年7月15日5时29分，房山区良乡镇长虹小区20号楼外北侧停放的一辆电动自行车起火，过火面积2平方米，无人员伤亡。经查，电动车车主为楼内住户郑某，起火原因系电动车蓄电池内部电气故障所致。房山支队提示车主电动车火灾安全的注意事项，督促小区物业单位落实电动自行车充电桩和停车棚的建设工作。,
209,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,2018年7月14日19时19分，朝阳区奥林匹克公园北园北门南13号门外清林路辅路处一辆电动自行车发生冒烟，中队到场后现场已无冒烟迹象，仅发现有一辆电动自行车电池部位有轻微烟迹，随后电动车车主赶到后将车辆移走，未造成其它财产损失及人员伤亡。,
210,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,2018年7月15日3时20分，朝阳区三丰里10号楼1单元楼外一辆电动自行车起火，过火面积2平米，无人员伤亡。经查，起火部位位于该电动车电池部位，起火原因系电动车充电过程中电池故障所致。,
211,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,车主将电动车停靠在车库位置充电，导致充电过量，未拔下充电器，引起的电动车自燃。,
212,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,"放在客厅中的电动车锂电池在未充电的情况下突然爆炸，致房间起火,室内沙发等被烧毁。",
213,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,位于宝山通南路上的一家电瓶车销售店内发生火灾，多人伤亡。火灾原因可能由于充电引发。,
214,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,江苏扬州西湖镇润阳北路附近，一处工地上的活动板房突然起火，据工地负责人称，疑似空调线路故障发生起火。,
215,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,北辰区瑞达里一户居民在家中为电动自行车电池充电时，电池突然起火。,
216,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,连云港市海州区银泰花苑小区一居民楼2楼走道，包括电动车和自行车在内的11辆车起火，经初步勘察，火灾原因可能系电动车充电所致。,
217,电子及信息技术产品,手机,华为,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,王先生在给自己的华为手机充电时，突然发生了爆炸，手机烧得爆裂变形，浓烟滚滚。,
218,家用电器及电器附件,油烟机,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,抽油烟机的玻璃面板破碎，部分爆裂后的玻璃碎渣散落在地，尚未脱落的面板也已出现密布的裂纹。,
219,儿童用品,儿童首饰,无,无,无,37个月～96个月,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,食管坏死或穿孔,,一名4岁男童误吞首饰上的铃铛，医生见铃铛卡在食管，建议其保守观察。第二天复查胸片，铃铛仍位于原位。如果不及时将铃铛取出，铃铛在食管停留时间过久，会引起食管缺血坏死甚至有穿孔的危险。,
220,家具及建筑装饰装修材料,玻璃门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,手臂肱动脉断裂,,7岁的雨雨在家中发生意外，不慎撞破房间玻璃门，造成右臂肱动脉断裂，肱二头肌断裂，结肠外露。,
221,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,一名9岁男童误吞磁铁，磁铁卡在右下腹，存在胃肠道梗阻或穿孔危险。,
222,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,在岳西县廊桥二停车场内，一辆轿车疑似车内起火，初步判断起火原因为车内高温引起手机自燃。,
223,儿童用品,塑料玩具,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,中毒,,3岁男童将“水晶宝宝”当成小糖豆，吃进了嘴里，随即呕吐不止。,
224,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,窗户钢化玻璃的外层发生爆裂。,
225,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,电动车放在屋内充电时起火。,
226,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,一个11岁的男孩，玩捉迷藏的时候躲在洗衣机里，结果卡在里面无法动弹，只能露出头部。,
227,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,眼睛射伤,,一个孩子打水枪时正好射到了另一个孩子的眼睛，孩子顿时捂着眼睛直哭，还好这把水枪威力较小，不然后果不堪设想。,
228,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,"住户家中落地窗钢化玻璃碎了，物业表示，夏天天气比较热,钢化玻璃自爆相对会高发,是不是质量问题需要鉴定。",
229,家具及建筑装饰装修材料,茶几,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,茶几突然爆炸，客厅里玻璃碎渣散落一地。,
230,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,上海的何女士在驾车时将苹果手机放在仪表台上，不料却突然有火光从手机冒出。整部手机鼓起，几秒钟后，火苗窜出包裹了手机。,
231,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,驻马店一住户家里的空调突然起火导致火灾。,
232,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,佛山禅城城门头路某大厦14楼办公室突然发生火灾，楼层玻璃窗大面积破碎，原因为电动车违规充电引发火灾。,
233,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,因不慎吞入8颗直径2毫米左右的磁力铁珠，12岁的女孩小灿出现肠坏死、腹膜炎等症状。,
234,电子及信息技术产品,手机,苹果,iPhone 6PLUS,苹果,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,消费者购买的苹果6PLUS手机正常使用两年后突然自燃爆炸。,
235,家用电器及电器附件,电热水器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,电击伤,,洗澡的女儿突然触电，父母急忙施救，不想一家三口全被电倒，原因可能是电热水器漏电。,
236,日用杂品,气球,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,8岁男童误吞气球致肠梗阻。,
237,儿童用品,儿童玩具,无,无,无,8岁～14岁,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,划伤,,泡沫飞机内含小钢珠，冲击力大，一个小朋友被泡沫飞机划伤了。,
238,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,山东省东营市1名3岁左右女孩在家玩耍的时候，不慎将头卡在了洗衣机滚筒内无法取下。,
239,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,郴州市一小区住户家中客厅电动车突然起火，烟雾笼罩整个房间，有两人被困室内脸被熏黑。,
240,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,济南瀚裕华园小区一居民楼突发火情，疑似一辆电动车充电起了火，一度浓烟滚滚。,
241,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,海口明光国际酒店大楼后面停车场，一辆电瓶车在充电时起火，火势蔓延，旁边的一辆商务面包车被殃及损坏严重，无人员受伤。,
242,电子及信息技术产品,手机,小米,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,使用半年的小米手机在充电时突然冒烟。,
243,家具及建筑装饰装修材料,浴室玻璃门,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,划伤,,杭州的一位汪先生反映，上个月他的老婆在洗澡时，浴室玻璃门突然炸裂，玻璃门的一面全部碎裂，汪先生的爱人还好只是瘦了一点皮外伤。,
244,家用电器及电器附件,电动泡脚盆,无,无,无,14～60岁,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,"71岁老太用电动泡脚盆洗脚时，疑因连线引发火灾，小区热心人和消防队员紧急施救，老太太客厅内的物品，多化为灰烬。",
245,家具及建筑装饰装修材料,紫外线灯,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,紫外线辐射,灼伤,,广州小伙误把紫外线灯当台灯使用了一晚上，使眼部受紫外线刺激而过敏，眼睛红肿、泪流不止。,
246,电子及信息技术产品,手机,小米,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,河南周口太康的一名小米用户的手机突然起火爆炸，致使该用户1岁的女儿三度烧伤。,
247,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,西安大寨路东方米兰小区发生一起火灾，一住户在家中给电动车充电时，电动车突然起火并点燃家中物品造成火势蔓延，损失惨重。,
248,儿童用品,儿童玩具,无,无,无,8岁～14岁,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,划伤,,玩具无人机的螺旋桨旋转起来不仅速度快，而且锋利，很容易导致孩子受伤。,
249,儿童用品,儿童玩具,无,无,无,36个月及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,食道阻塞,,2岁男童误吞玩具里的纽扣电池致食道阻塞。,
250,文教体育用品,平衡车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一男童在家中玩平衡车时，平衡车突然发生爆炸起火。,
251,家具及建筑装饰装修材料,浴室玻璃门,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,"张先生家卫生间浴室的一扇约两米高,四五十厘米宽的钢化玻璃门整体爆裂，碎玻璃散落一地。",
252,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,死亡,,停放该楼一楼楼梯间一辆电动车充电过程中线路短路引起，共造成2人死亡，另有2人送医院检查(均无生命危险）。,
253,电子及信息技术产品,激光笔,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,灼伤,,上海宝山区一位8岁的小男孩程程在玩耍时左眼被激光笔照射灼伤，造成不可逆损伤。,
254,家用电器及电器附件,电热水器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烫伤,,电热水器内胆爆裂，热水烫伤女孩。,
255,服装鞋帽及家用纺织品,遮光窗帘,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,有机毒物,有毒荃类化合物,甲醛,甲醛中毒、咳嗽,,合肥女子网购遮光窗帘甲醛超标，引发6岁孩子咳嗽、嗓子疼。,
256,家具及建筑装饰装修材料,床垫,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,有机毒物,有毒荃类化合物,甲醛,甲醛中毒、咳嗽,,床垫甲醛超标，7岁女童嗓子疼，总是打喷嚏，流清涕。,
258,家具及建筑装饰装修材料,玻璃幕墙,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,武汉一市民家中厨房的玻璃幕墙发生自爆。,
259,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,8岁误吞下40多颗磁铁珠，磁铁珠相互吸引引发肠胃穿孔。,
260,家用电器及电器附件,充电插座,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,财产损失,,充电插座短路导致冒烟，幸好男童及时发现，没有引起明火。,
261,家用电器及电器附件,油烟机,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,划伤,,油烟机玻璃面板爆裂，人被划伤。,
262,文教体育用品,平衡车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,台州市民家中正在充电的平衡车起火引起火灾。,
263,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,河南郑州管城区一家属楼一楼楼道口电动车失火发生火灾，致3死4伤。,
264,家用电器及电器附件,电视,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,扬州一户人家小孩正在看电视。突然，电视机插头直冒火星，然后起火。,
265,电子及信息技术产品,电脑,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,海口市白龙新城小区的一户居民家中，因电脑自燃引发火灾。,
266,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,阜阳市民把电动自行车放到家中充电，在充电过程中起火。,
267,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,安庆市一门面房中立式冰箱因故障起火。,
268,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,2岁女童误吞三粒磁力珠，导致两处肠穿孔。,
269,家具及建筑装饰装修材料,组合柜,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,有机毒物,有毒荃类化合物,甲醛,咳嗽,,深圳南山区的曾先生在宜家买了一套组合柜，女儿因此出现了咳嗽等不舒服的症状，曾先生用甲醛仪测试后发现甲醛超标。,
270,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,上海地铁一名乘客的手机死机并且发烫，在找站务员帮忙把电池板卸下来时，手机突然冒烟。,
271,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一台停放在电动车充电点的没有充电的电动车发生自燃引起火灾，烧毁周围的电动车。,
272,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,电动车停放在小区的架空层，疑电动车充电引发火灾。,
273,儿童用品,纸尿裤,无,无,无,36个月及以下,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,有机毒物,有毒荃类化合物,甲醛，TVOC,刺激皮肤黏膜，致癌,,网购的“爸爸的选择”牌“夏季轻柔透气婴儿纸尿裤”中，甲醛（HCHO）和总挥发性有机物（TVOC）严重超标25倍和14倍。,
274,日用杂品,纽扣电池,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,纽扣电池,胃肠道穿孔或阻塞,,一名4岁多的男童误吞了一颗纽扣电池，手术取出时电池已被腐蚀变黑，随时可能渗出腐蚀性物质，险些造成严重后果。,
275,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一辆停放在人行道上的电动车发生自燃。,
276,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,电动车电池在未充电情况下发生自燃。,
277,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,死亡,,巴中市城区一小区因楼上空调外机外壳带电，空调外机固定支架和楼下铁防护栏相接触后，导致楼下防护栏意外带电。楼下小孩在阳台收衣服时，触碰防护栏后触电身亡。,
278,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,电瓶车充电时起火引发火灾。,
279,家具及建筑装饰装修材料,地漏,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,夹伤,,4岁女童的手指被金属地漏卡住。,
280,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,6岁男童误吞三颗磁力珠，在体内留存了9天才最终被顺利取出，险些造成孩子肠穿孔和肠梗阻。,
281,文教体育用品,笔帽,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,气管阻塞,,9岁的男孩因咬笔时误将笔帽吸入气管，咳喘不止，险窒息。,
282,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,泉州一小区业主反映，大家入住最长的也就两年多，可不少人家里阳台、卧室的钢化玻璃就接连爆裂。,
283,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,江西上饶的一位女士带着宝宝去美容院做身体保养，边玩手机变等待，当手机放到沙发上时突然起火。,
284,儿童用品,儿童玩具,无,无,无,37个月～96个月,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,汉中南郑一所幼儿园中，一个小孩在玩玩具的时候，将塑料环套上了自己的手指，致使手指被卡。,
285,儿童用品,玩具遥控器,无,无,无,14岁及以下,男女均可使用,是,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,8个月大的女婴误吞下一颗放在玩具遥控器里的纽扣电池，滞留胃里5小时，电池里的碱液已渗漏，将胃黏膜灼伤多处。,
286,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,一名2岁男童误吞9颗磁力珠，出现呕吐、腹部不适等症状。,
