序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
598,纺织品及服装鞋帽,平底单鞋,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物,铬及其化合物,,化学,欧盟,2018/7/6,皮革中铬（VI）含量过高（测得值：34.5 mg/kg）。铬（VI）是致敏性物质，可能引发过敏反应。
599,服装纺织产品,滑雪靴,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,跌落,美国,2018/7/11,固定装置可能会意外松解，有造成使用者跌落的风险。
600,服装纺织产品,儿童睡衣,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,,,,,烧伤,美国,2018/7/12,不符合儿童睡衣可燃性标准，存在导致儿童被烧伤的风险。
601,儿童用品,安抚奶嘴,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/13,奶嘴头易裂开形成小部件，幼童可能会将其放入口中，导致呛噎。
602,儿童用品,玩具木琴,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/13,小部件易从玩具上脱落，幼童可能会将其放入口中，堵塞呼吸道。
603,儿童用品,挤压玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/13,塑料材料的小部件易从玩具上脱落，幼童可能会将其放入口中，导致呛噎。
604,儿童用品,儿童滑板车,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,,卡压,欧盟,2018/7/13,滑板车的活动部件之间存在可被接触的缝隙，手指会因此被卡住。
605,儿童用品,水气球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,其它,,化学,欧盟,2018/7/13,水气球释放的亚硝基胺物质含量过高（测量值达1.78 mg/kg）。吸入、摄入或皮肤接触到亚硝胺会致癌。
606,儿童用品,玩具吉他,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/13,吉他的弦栓易脱落形成小部件。若儿童将其放入口中，可能会堵塞呼吸道。
607,儿童用品,指尖陀螺,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,烧伤，化学,欧盟,2018/7/13,即使不用任何工具，电池仓也很容易被打开，使里面的钮扣电池易被接触。若不同极的部件发生短路，电池容易过热。儿童可能会把钮扣电池放入口中并吞咽，损害胃肠道。或因触摸指尖陀螺的高温表面而被烧伤。
608,儿童用品,沙滩玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/13,蓝色冰淇淋模具易碎裂形成小部件，若儿童将其放入口中，可能会堵塞呼吸道。
609,儿童用品,音乐玩具电话,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/13,数字键易脱落形成小部件，若儿童将其放入口中，可能会堵塞呼吸道。
610,儿童用品,玩具口哨,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,噪声危害,,,,听力受损,欧盟,2018/7/13,口哨的音量过高，若儿童将口哨靠近耳朵使用，会导致其听力受损。
611,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/13,娃娃的塑料材料含有邻苯二甲酸二异癸酯（DIDP）（测得占重13.3%）。这种邻苯二甲酸盐可能会损害肝脏。
612,儿童用品,儿童化装舞会用服装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,勒毙,欧盟,2018/7/13,衣服颈部部位有带自由端的拉绳。这可能会成为幼童在各种活动中的羁绊，导致勒毙。
613,卫生用品,睫毛膏,不限年龄段,女,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物,铬及其化合物,,化学,欧盟,2018/7/13,产品含有锆、钴和铬（测得占重分别为0.3%、0.025%和0.09%）。化妆品法规严禁化妆品内含有上述物质。
614,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/7/13,电缆也没有被适当固定且缆线太细。可接触电线只有基本绝缘且LED灯的电绝缘性能不足。该产品不防潮，却被建议户外使用。基本绝缘电缆可能会脱离或被损坏，导致带电导体可被接触。水渗透至电缆内可能会造成电击。电缆也会过热导致火灾。
615,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/7/13,电缆也没有被适当固定且缆线太细。电缆可能会因此脱离或被损坏，导致带电部件可被接触。电缆也会过热， 导致火灾。
616,家具及建筑装饰装修材料,LED吸顶灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/7/13,灯具无接地终端，因此在无接地线的情况下存在接通电源的风险。
617,家具及建筑装饰装修材料,LED泛光灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/7/13,电源插头尺寸太小，电源的电绝缘性能不足，用户可能会因此接触到带电部件。用户接触可触碰带电部件时可能会遭到电击。
618,日用杂品,装饰性水果（樱桃）,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/13,由于产品的形状、颜色、外形和大小容易使其与食物混淆，且其小部件易从玩具上脱落，幼童可能会因此将其放入口中，导致呛噎。
619,日用杂品,便携式LED灯/手电筒,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/7/13,充电时灯罩可轻易被拆卸，导致带电部件变得可被接触。插座和扁平插头尺寸不适合，充电器的带电部件可被接触，电线的内、外芯的横截面积太小。另外，电缆可能会过热。
620,日用杂品,便携式LED灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/7/13,充电时灯罩可易被拆卸，导致带电部件变得可被接触。插座和扁平插头尺寸不适合，充电器芯片的横截面积太小，电线可能会过热。
621,日用杂品,便携式LED灯/手电筒,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/7/13,充电时灯罩可易被拆卸，导致带电部件变得可被接触。插座和扁平插头尺寸不适合，电线的内、外芯的横截面积太小，电缆可能会过热。
622,日用杂品,熨衣板,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤,欧盟,2018/7/13,熨衣板的稳定性能不足，承载重量达5公斤或以上的物体时会倾翻，可能导致用户受伤。
623,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,,烧伤,欧盟,2018/7/13,烟花升空角度过平且在低空燃烧。观赏者可能会被烟花的掉落物砸中，导致烧伤。
624,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,,烧伤,欧盟,2018/7/13,烟花会在低空燃烧（高度不足8米）。观赏者可能会被烟花的掉落物砸中，导致烧伤。
625,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,,烧伤,欧盟,2018/7/13,引信燃烧持续时间过长，发光剂燃烧时间过久，且在低空燃烧。用户会折返回去查看烟花情况，造成烧伤。观赏者可能会被烟花的掉落物砸中，导致烧伤。
626,信息技术产品,充电器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/7/20,电绝缘性能不足，用户接触可触碰部件时可能会遭到电击。
627,儿童用品,带配件的塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/20,娃娃头部的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重20%以上）和邻苯二甲酸二异壬酯（DINP）（测得占重10.8%）。这种邻苯二甲酸盐可能危害儿童健康，损害生殖系统和肝脏。
628,儿童用品,木质音乐玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/20,小部件容易从玩具上脱落。另外，沙锤摇铃的手柄突出。儿童可能会将小部件或突出的手柄放入口中，堵塞呼吸道并导致呛噎。
629,儿童用品,拼图垫,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/20,小部件容易从玩具上脱落，儿童可能会将其放入口中，导致呛噎。
630,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/20,娃娃头部含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重7%）。这种邻苯二甲酸盐可能危害儿童健康，损害生殖系统。
631,儿童用品,指尖陀螺,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,受伤,欧盟,2018/7/20,电池仓很容易被打开，里面的纽扣电池易被接触。儿童可能会将其放入口中并吞食，损害胃肠道。
632,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/20,娃娃头部含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重17%）。这种邻苯二甲酸盐可能危害儿童健康，损害生殖系统。
633,儿童用品,玩具吉他,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,勒毙,欧盟,2018/7/20,玩具吉他的挂带有可能完全或部分缠绕颈部，这可能成为儿童各种活动中的羁绊，并在儿童颈部形成绳圈。由于缺少快速松解机制，儿童可能会试图脱离带子，从而导致勒毙。
634,儿童用品,玩具枪,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/20,射弹上的吸盘容易脱落。若儿童将射弹放入口中，吸盘可能会脱落并堵塞呼吸道。
635,儿童用品,玩具吉他,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,勒毙,欧盟,2018/7/20,玩具吉他的挂带没有快速松解机制。当被挂在颈部使用时，带子会形成绳圈并被缠住，从而导致勒毙。
636,儿童用品,塑料摇铃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/20,摇铃手柄过长，儿童可能会将其放入口中，卡住并堵塞呼吸道。
637,儿童用品,塑料摇铃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎，割伤,欧盟,2018/7/20,摇铃手柄过长，儿童可能会将其放入口中，卡住并堵塞呼吸道。玩具含有锋利边缘，可能导致割伤。
638,儿童用品,气球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,其它,,化学,欧盟,2018/7/20,气球释放的亚硝胺含量(0.14 mg/kg)和亚硝基胺物质含量(3.22 mg/kg)过高，亚硝胺类化合物可转化为亚硝胺，吸入、摄入或皮肤触碰亚硝胺会导致遗传毒性的致癌。
639,儿童用品,气球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,其它,,化学,欧盟,2018/7/20,气球释放的亚硝胺含量(3.38 mg/kg)过高。吸入、摄入或皮肤触碰亚硝胺会导致遗传毒性的致癌。儿童把气球放入口中会接触这些致癌物。
640,儿童用品,气球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,其它,,化学,欧盟,2018/7/20,气球释放的亚硝基胺物质含量(3.38 mg/kg)过高。亚硝胺类化合物可转化为亚硝胺，吸入、摄入或皮肤触碰亚硝胺会导致遗传毒性的致癌。儿童把气球放入口中会接触这些致癌物。
641,儿童用品,足球喇叭,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,噪声危害,,,,听力受损,欧盟,2018/7/20,玩具的声压级过高(>119 dB)，会对听力造成永久性损伤。
642,儿童用品,气球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,其它,,化学,欧盟,2018/7/20,气球释放的亚硝胺含量(14 mg/kg)和亚硝基胺物质含量(12 mg/kg)过高，亚硝胺类化合物可转化为亚硝胺，吸入、摄入或皮肤触碰亚硝胺会导致遗传毒性的致癌。儿童把气球放入口中会接触这些致癌物。
643,儿童用品,气球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,其它,,化学,欧盟,2018/7/20,气球释放的亚硝胺含量(0.7 mg/kg)和亚硝基胺物质含量(3.7 mg/kg)过高，亚硝胺类化合物可转化为亚硝胺，吸入、摄入或皮肤触碰亚硝胺会导致遗传毒性的致癌。儿童把气球放入口中会接触这些致癌物。
644,儿童用品,气球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,其它,,化学,欧盟,2018/7/20,气球释放的亚硝胺含量(0.14 mg/kg)和亚硝基胺物质含量(1.12 mg/kg)过高，亚硝胺类化合物可转化为亚硝胺，吸入、摄入或皮肤触碰亚硝胺会导致遗传毒性的致癌。儿童把气球放入口中会接触这些致癌物。
645,儿童用品,指画颜料套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,致病微生物危害,原核细胞微生物危害,,,微生物,欧盟,2018/7/20,深蓝色颜料的需氧细菌总量过高（测量值为4x105 cfu/ml），并检测到其中还含有潜在性致病菌，因该产品可能会接触到开放伤口、嘴、手或眼睛，细菌存在感染风险。
646,儿童用品,童用三轮车,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,,受伤,欧盟,2018/7/20,三轮车的活动部件之间存在可被接触的缝隙。在骑三轮车时，孩子的手指可能会被卡在开口缝隙中，并因车辆行进而受伤。
647,家具及建筑装饰装修材料,吸顶灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/7/20,带电部件在组装过程中可能会被触摸到，且绝缘性能不足，用户可能会因此遭受电击。
648,家具及建筑装饰装修材料,装饰灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/7/20,缆线没有被适当地固定，易被接触的电线只有基础绝缘且缆线过细。电线基本绝缘层会脱落或被损坏，使得带电导体可被接触，导致用户触电。另外，电线过热会导致火灾。
649,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,,火灾,欧盟,2018/7/20,缆线过细，可能会导致缆线在使用过程中过热，并引起火灾。
650,家用电器及电器附件,台灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/7/20,带电部件在连接或断开电源时可被接触，用户可能会因此遭受电击。
651,日用杂品,电子烟液,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,,化学,欧盟,2018/7/20,产品含有尼古丁（含量为3～18 mg/ml），属于强烈毒性物品。此外，此产品没有按照有毒混合物规定，附上关于准确安全使用产品的建议宣传页。在产品接触皮肤或被摄入时，用户无法知晓如何避免危险。
652,纺织品及服装鞋帽,水上运动鞋,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,有机毒物危害,有毒芳香稠环类化合物,蒽类化合物,,化学,欧盟,2018/7/20,该产品含有多环芳香烃（PAH）䓛和苯并[e]芘（测量值分别为11 mg/kg和1.7 mg/kg）。多环芳香烃（PAHs）具有致癌性。
653,家具装饰装修材料,餐厅椅,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,跌落,美国,2018/7/24,椅背框架可能会断裂，存在导致消费者跌落的风险
654,服装纺织产品,带布贴的牛仔短裤,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,窒息,美国,2018/7/24,图案布贴可能会脱落，存在导致儿童呛噎的风险
655,信息技术产品,旅行插头适配器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/7/27,插头可能出现单极插入的情况，用户可接触到插头余下未插入的插脚。
656,信息技术产品,旅行插头适配器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/7/27,两种插头（欧式插头和英式插头）可同时被打开并接通电源。若其中一个插头被插进插座，用户可能会触摸到另一个插头的插脚而导致触电。
657,信息技术产品,激光笔,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,,视力受损,欧盟,2018/7/27,激光束过强。直视激光束可能会损伤视力。
658,信息技术产品,激光笔,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,,视力受损,欧盟,2018/7/27,激光束过强。直视激光束可能会损伤视力。
659,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
660,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
661,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
662,儿童用品,女童泳衣,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
663,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
664,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
665,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
666,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
667,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
668,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
669,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
670,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
671,儿童用品,女童比基尼,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/7/27,比基尼上衣后背的拉绳会成为儿童在各种活动中的羁绊，导致儿童受伤。
672,儿童用品,玩具购物手推车,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,手推车车轮易碎裂形成小部件，儿童可能会将其放入口中，导致呛噎。
673,儿童用品,玩具枪,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,子弹上的吸盘容易脱落，儿童可能会将其放入口中，导致呛噎。
674,儿童用品,厨房玩具套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,若干个小部件容易从不同厨具上脱落，儿童可能会将其放入口中，导致呛噎。
675,儿童用品,沙滩玩具套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,套装上的若干个零件容易碎裂形成小部件，儿童可能会将其放入口中，导致呛噎。
676,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/27,娃娃含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重7.4%）。这种邻苯二甲酸盐可能危害儿童健康，损害生殖系统。
677,儿童用品,裁判员套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎，听力受损,欧盟,2018/7/27,玩具的声压级过高(>125 dB)，会对听力造成永久性损伤。此外，口哨容易从挂绳上脱落，儿童可能会将其放入口中，导致呛噎。
678,儿童用品,毛绒玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,毛绒玩具的眼睛容易脱落形成小部件，儿童可能会将其放入口中，导致呛噎。
679,儿童用品,启蒙玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,小部件容易从玩具上脱落，儿童可能会将其放入口中，导致呛噎。
680,儿童用品,木质玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,小部件容易从玩具上脱落，儿童可能会将其放入口中，导致呛噎。
681,儿童用品,毛绒玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,毛绒老虎的（多个）眼睛容易脱落，儿童可能会将其放入口中，导致呛噎。
682,儿童用品,音乐玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,窒息,欧盟,2018/7/27,螺旋桨容易断裂形成小部件，儿童可能会将其放入口中，导致呛噎。
683,儿童用品,玩具狗,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,"化学, 呛噎",欧盟,2018/7/27,电池仓无需任何工具便可轻易被打开，仓内的钮扣式电池易被接触。幼童可能会将其放入口中并吞食，导致呛噎或胃肠道损伤。此外，小部件容易从玩具上脱落，儿童可能会将其放入口中，导致呛噎。
684,儿童用品,玩具枪套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,射弹上的吸盘容易脱落，儿童可能会将其放入口中，导致呛噎。
685,儿童用品,玩具枪套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,吸盘容易从射弹上脱落，儿童可能会将其放入口中，导致呛噎。
686,儿童用品,玩具移动电话,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,化学,欧盟,2018/7/27,玩具包装内的钮扣式电池未被固定，导致其易被接触。儿童可能会将其放入口中，造成包括食道和胃部等内脏损伤。
687,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,化学,欧盟,2018/7/27,玩具包装内的钮扣式电池未被固定，导致其易被接触。儿童可能会将其放入口中，若吞食电池，可能会造成儿童胃肠道损伤或导致呛噎。
688,儿童用品,沙滩玩具套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,玩具的不同零件会碎裂形成小部件，儿童可能会将其放入口中，堵塞呼吸道。
689,儿童用品,塑料娃娃套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/27,娃娃的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重＞20%）。这种邻苯二甲酸盐可能危害儿童健康，损害生殖系统。
690,儿童用品,玩具弓箭套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,射弹上的吸盘容易脱落。若儿童将射弹放入口中，吸盘可能会脱落并堵塞呼吸道。
691,儿童用品,塑料玩具飞机,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,多个小部件可从玩具上脱落，儿童可能会将其放入口中，导致呛噎。
692,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/27,娃娃的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重为15.4%）。这种邻苯二甲酸盐可能危害儿童健康，损害生殖系统。
693,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/7/27,娃娃头部的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重为14.9%）。这种邻苯二甲酸盐可能危害儿童健康，损害生殖系统。
694,儿童用品,沙球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/7/27,缝合处的内部纤维填充材料易被接触，儿童可能会将填充物掏出来，放入口中并导致呛噎。
695,儿童用品,带LED灯的沐浴玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,,视力受损,欧盟,2018/7/27,红色和蓝色LED灯亮度过强，直视光束可能会损伤视力。
696,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/7/27,灯座内的灯泡可被轻易旋开，在更换灯泡时灯座接触器并不完全安全。若被旋开的灯泡出现短路，灯可能会过热。带电的灯座接触器变得可被接触，用户可能会遭受电击。
697,家用电器,无线充电面板,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,,烧伤 ,美国,2018/7/27,该产品可能会在使用过程中过热，有导致消费者烧伤的风险。
