序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
558,twinkle耀童亲子餐厅,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354975866/,投诉,彩贝壳,退款,在彩贝壳平台上抢购的twinkle耀童亲子餐厅活动价格，但在预约期间中，其中两家陆续暂停营业，导致计划中的店家无法预约，期限将近，周末其他店都无法预约，需要申请退款。虽然抢购条款中写着：特价无法退款。但在商家原先活动是有六家餐厅，而今没有经过顾客同意有两家无法预约，首先违法条款，严重影响顾客体验。必须全...,已回复
559,虚假签收。,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354904953/,投诉,拼多多客户服务,退款,三年级儿童误用拼多多购买虚拟皮肤商家不予退款,处理中
560,小米儿童会员自动续费,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355374943/,投诉,小米服务那些事,"退款,赔偿",2021年10月12日上午收到消息“【小米】亲爱的小米儿童会员，您本月连续包月服务已成功充值！如需解除自动续费，请于扣费前24小时内登录已绑定支付的支付宝设置。关注[小米儿童会员]了解详情，路径：小米儿童会员-为您服务-取消续费”！！ 找不到自己关注过、开通过的记录。打电话给小米客服，说是自己开通的，可以申请取消...,已完成
561,儿童无意识在这款游戏上花费2300多元,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354784024/,投诉,迷你世界-MiniWorld,退款,未成年儿童在这款迷你世界游戏中无意识花费了2300多元,已完成
562,儿童水杯质量问题,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355122801/,投诉,阿里客服,"退款,道歉",6月中旬买的水杯，八月初开始起霉点。开始较少清洗不掉以为小孩弄上的脏东西。九月初出现大片霉斑，水倒空后清洗无果不敢再用，加上临时去了外地一直没空维权。九月底回到家后想起来找客服，对方毫无道歉诚意，指责推诿是我杯子用的太久，出现发霉现象很正常。这么多年这么多牌子的儿童水杯，从没见过哪家出现发霉的。请...,处理中
563,儿童意外购买,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354943208/,投诉,Apple支持,帮我退款,新盗墓笔记手游里面小孩通过苹果误充值的，找了苹果退款，两次都审核失败 ，原因也不说是什么 ，客服让我找游戏方，游戏方让我找苹果。踢皮球一样,处理中
564,8岁孩童游戏充钱4000 ，无法退款,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354922493/,投诉,HeyTap官方微博,退款,8岁孩童玩家长手机，为“迷你世界”充值4000 ，与客服联系未果，退费无望～,已回复
565,金宝贝退费难,2021-08-07,https://tousu.sina.com.cn/complaint/view/17354351629/,投诉,金宝贝儿童成长教育,"退款,解除合约",2019年孩子两岁多时给孩子报名金宝贝早教课，当时销售推荐大课包，说是在上幼儿园之前完全可以上完，所以也没过多了解，也没上体验课就报名了。24000第二天就交了，当时签合同也没告知合同细节，只让我们签了字，付了款。2020年初疫情期间，全国各地培训机构因为疫情停课，时间长达四五个月，这期间停课时间过长，加上孩...,已回复
566,诱导充值,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354894295/,投诉,乐乐捕鱼,"退款,下架产品,开发票",儿童玩的充值诱导，不充钱都不能退出游戏！,处理中
567,儿童误充,2021-08-28,https://tousu.sina.com.cn/complaint/view/17354664436/,投诉,汤姆猫跑酷,退款,五岁孩子，在家长不知情的情况下，误充648，购买炸弹车，现在请求退款,处理中
568,卖家平湖童车联盟、童车质量有问题,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354786724/,投诉,阿里客服,退款,童车买了一个月、后轮两个电机就坏了、商家同意维修、但运费需要自己承担、商品不是人为损坏是本身质量问题。淘宝小二介入让退回货物、花钱退回商品维修好后、商家没有经过我同意就邮寄回来逼我签收。淘宝小二驳回我的维权 说货物影响二次销售。商家质量有问题，淘宝小二不管。,处理中
569,退货价格不一,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354883556/,投诉,拼多多客户服务,"退款,赔偿,道歉",我买了一个童装没货了我想退结果49块钱变成46块钱了,处理中
570,不相信充值要求退款。,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354893449/,投诉,白日梦游戏,退款,在逃跑吧少年这款游戏中。儿童不小心充值。要求退款。,已完成
571,招童工里面员工还骂人，欺负人，而且还对童工辱骂,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354567319/,投诉,蜜雪冰城,解释,招童工，里面人员骂人欺负人对童工辱骂。，,已完成
572,要求苏州园区贝贝乐儿童教育培训中心退还剩余65课时费用,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354840286/,投诉,苏州园区贝贝乐儿童教育培训中心,退款,苏州园区贝贝乐儿童教育培训，即金宝贝印象城中心，2020年11月30日，本人购买100课时（其中10课时为口头赠送）15000元合同，至2021年8月底还有65课时未上，现申请退费，对方坚持只退三分之一费用，对方订立的课程销售协议，一是抵触了消费者权益保护法，免除经营者责任，加重消费者责任，有失公正公平。二是设立陷阱，将...,待分配
573,palor保利隆旗舰店退货运费及儿童精神损失费,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355354479/,投诉,阿里客服,赔偿,本人于2021年9月28日购买一一台儿童平衡车。 小孩在使用过程中，平衡车故障，造成小孩摔倒在里，精神严重受到损伤。 至此在不敢使用此车，当天联系客服退回。 退回快递费用54元。 希望商家退回快递费用54元，并赔偿儿童心理精神损失费用10000元。 作为赔償。 此产品无国家认可检测证书。系三无产品。 因技术故障造成退回...,处理中
574,北京视游互动有限公司的游戏“奥特曼英雄归来”,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355114975/,投诉,奥特曼英雄归来小y版本,退款,家中有一13岁儿童，9月4号10号11号在家使用北京视游互动科技公司开发的游戏软件“奥特曼英雄归来”玩游戏，共消费了一万余元购买游戏道具。家长在此期间由于上班，未能发现并制止。后查看其消费记录才发现。对于8岁以上18岁以下的限制民事行为能力的儿童，法律规定游戏充值金额与儿童年龄智力不相适应的可以要求退还。特此...,待分配
575,大河票务网 ，只出儿童票未出成人票， 还拒绝退儿童票全额,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355159352/,投诉,大河票务网,退款,9月25号在大河票务平台购2张，10月1号的珠海航展的票，27号通知儿童票出票成功，成人票出票失败，其客服第一次电话通知儿童票全额无法退，成人票全额退，第二次客服电话说只能20%。我要求全额退款，一个9岁的孩子无法独自一人从广州去珠海看展览，无论大河票务网有其退款条款，都无法解释 单独只给一个儿童出票，还拒绝...,已回复
576,巨人网络以儿童不记的游戏账号为由不受理退款,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355064838/,投诉,巨人网络,"退款,改善服务",因儿童玩游戏充值请客服受理退款，客服以儿童不记的账号和绑定信息找不到账号为由不予受理退款。儿童未成年很多都不懂，难道有付款记录和付款单号都不受理吗？难道钱付给游戏公司后游戏公司就不用负责了么？找回账号这些技术上的东西游戏公司通过游戏的付款账单找不回来么？,处理中
577,树童英语培训中心不按合同约定退款,2021-07-30,https://tousu.sina.com.cn/complaint/view/17354250473/,投诉,树童英语课程中心,退款,我在2017年12月与树童英语培训中心签订合同约定，我支付39800元给树童，由树童英语提供3年英语培训服务，3年到期后，我可以申请退款31840元，退款将在30天内到账。今年5月向树童提出了申请，但树童一直迟迟不予退款，电话，上门多次，均沟通未果。请问，树童英语为啥不按合同约定退款。,处理中
578,淘宝卖家（心宝童话镇）拒绝提供退货地址,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355215765/,投诉,阿里客服,退款退货,该卖家商品均为代买形式，我购买了8件童装，都是卖家去给我从别的店铺下单发货到我这，8件童装发了8个快递，然后退货也要我分别退到不同的地址。我是找（心宝童话镇）买东西，不是另外8家店铺，为什么要我分别退货，这明显不是我的问题，要我来给你擦屁股，你卖家想这种模式经营店铺赚钱，那你就自己承担这个责任，客户...,处理中
579,诱导欺骗客户买卡,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355330863/,投诉,京东客服,"退款,道歉,改善服务,解释",本人于2021年10月7号通过京东在华为自营店买了一款儿童手表，于8号收到货物，打开后除手表包装之外内附一张电话卡，显示儿童手表专用卡，本以为是华为附带，便选择一年套餐激活，后发现无法播出电话。只能接听，咨询京东客服得知手表只能用三大运营商卡可正常使用，为何在知道情况下给了一张物联卡进去，还标明儿童手表...,已回复
580,腾讯微信小程序诱使未成人充值,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355287231/,投诉,腾讯微信团队,退款,腾讯旗下微信小游戏没有起到监管职责，放任游戏公司诱骗未成年人充值。游戏公司在接到投诉后狡辩称是儿童自行的行为，公司不予退款。完全罔顾短短几分钟内多次利用虚假信息诱使没有分辨能力的孩童充值。同时腾讯公司在明知儿童已经实名认证的情况下还是放任其充值未及时通知监护人存在连带责任。现希望腾讯公司，微信能...,处理中
581,美团电影票儿童免票多买的票不给退款,2021-08-25,https://tousu.sina.com.cn/complaint/view/17354624671/,投诉,美团网客服小美,退款,在美团买了三张电影票，两个大人带着一个不到一米的儿童，检票时检票员说我们带的儿童是免票的，但是票已经买了，不给退款，也不能给别人用，只能浪费掉，我认为很不合理，希望退还儿童免的那一票,已完成
582,康婴园牌儿童口罩生产标准不符合国家标准,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354921092/,投诉,阿里客服,"退款,赔偿,作出处罚,下架产品,修改宣传内容",给弟弟（6岁）在网上买的口罩，发现里面有的口罩是脏的，然后就感觉不对劲，后来又查了查，他们家店里销售的口罩的生产标准是gb/t32610不适用于儿童口罩，而他们售卖的是儿童口罩，当时没太在意，后来弟弟带上去和普通口罩带上去的感觉不一样，有头晕现象，然后就来请求贵平台能够替我们讨回公道，谢谢。国家规定GB/T326...,处理中
583,苹果设备没有儿童锁，被恶意扣费要求返还。并设儿童锁,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355161810/,投诉,Apple支持,"返还恶意扣费金。,快速处理,还我真相",我还记得是2018年还是2019年的也是9-10月份，也是被苹果恶意扣费了。 我是个打工人，但也是苹果的忠实顾客，从苹果4s到现在的苹果13，还有平板买了四五个了都。之前为了等苹果13，9月初就把老手机里面的软件都清理掉了，等苹果上市换新机，备份软件。因为几乎用苹果这么多年没有花过钱，所以就把平板让孩子拿去打王者什...,处理中
584,小米视频无故扣费,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354842754/,投诉,小米服务那些事,退款,从未开通过小米儿童会员，为何无故扣费，我连app都没下载过不知道是哪个,已完成
585,移动魔百盒,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354734146/,投诉,中国移动10086,"退货退款,快速处理,改善服务",收费点播服务不明确不提示，误导儿童点击入坑。,已完成
586,蒙特梭利幼儿园app退款,2021-08-03,https://tousu.sina.com.cn/complaint/view/17354297895/,投诉,MTSR蒙特梭利儿童之家,退款,蒙特梭利幼儿园app试用期7天后自动订阅一年扣款，没任何短信、app提醒，没有确认是否订阅就在8月1日凌晨4点直接扣费，直到看到账单才知道被扣款，这直接损害消费者权益， 并且填写信息宝宝只有2岁，软件宣传适用于4+宝宝，不根据情况直接强制扣费！软件不适用本人情况！要求退款！,处理中
587,儿童消费退款,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354834218/,投诉,装扮少女app,退款,小孩玩大人手机充值一百多，有诱导消费行为。,处理中
588,过度氪金,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354817600/,投诉,双生幻想手游,退款,发现大量的氪金账单 是家中未成年儿童 需求退款,处理中
589,我的汤姆猫2,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354821750/,投诉,我的汤姆猫2,退款,4岁儿童误操作购买，不需要指纹直接购买成功，请求退款谢谢。,处理中
590,5岁儿童玩游戏通过华为账号直接登录消费,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354781123/,投诉,华为终端客服,退款,5岁儿童为无民事行为能力人，玩游戏时直接登录华为账号，导致儿童消费518元，找客服，客服一直在推，所有扣款都是通过华为终端扣出去的，华为监管不到位，造成损失应华为赔偿,已完成
591,因疫情常熟星光天地金宝贝停课，请求退款,2021-08-14,https://tousu.sina.com.cn/complaint/view/17354442084/,投诉,金宝贝儿童成长教育,退款,1:我方于2021年4月23日报名了常熟星光天地金宝贝课程包，总计大约18400元。总课时144节，赠课14节，剩余144节。2:由于疫情不可抗力原因，金宝贝也按国家要求停课，我方由于疫情不可抗力原因，无法在适合孩子早教最佳时期正常上课，从而错过了早教学习的最佳时间断。我们第一时间提出想按同比例降课包或退款，但金宝贝负...,已完成
592,漫威超级战争游戏，儿童误充值，麻烦要求退款，谢谢,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354800751/,投诉,漫威超级战争,退款,漫威超级战争游戏，儿童误充值，麻烦要求退款，谢谢,待分配
593,订儿童机票未告知订票程序，导致机票价格不对,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355171145/,投诉,去哪儿网客服,"速处理,补足差价",9.28早上八点多，在去哪儿网订了两张10.1当天的机票，票价500多，预定成功后，随即联系客服增订儿童票，客户表示会联系代理商订购。 但直到机票上涨仍未有订票信息，再次联系客服，客服告知儿童票当时并未预定，而且需要在成人票出票后订购，因为成人票出票晚，所以现在儿童票价格已经是1000多。 投诉1:客户未进行事前告...,已完成
594,小米影视会员无法观看儿童节目,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354577980/,投诉,小米服务那些事,退还费用,孩子看动画片开儿童成长会员误开成了小米影视会员 随后又开通了小米儿童成长会员 希望把之前的小米影视会员退费给我，谢谢！,已完成
595,儿童无意购买不能退回,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354784991/,投诉,Apple支持,退款,儿童无意购买不能退回找了苹果公司说不符合,处理中
596,办理送儿童手表套餐，实际与描述不符，不能全额打印发票。,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355237812/,投诉,中国移动10086,"快速处理,更改套餐,解除合约",本手机15274820***原套餐119元/月，原有副卡儿童手表套餐18元/月。中国移动工作人员称保持本套餐2年不变，其他方面包括话费流量均不会变化，可送儿童电话手表一个。办完后，出现以下问题：1、主附卡颠倒，主卡为儿童电话手表号码，副卡未本号码；2、套餐金额增加，本号码变成了78元/月，儿童电话手表号码变成了119元/月...,已回复
597,未成年儿童玩这款迷你世界游戏花费了2300多元，申请退款,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354783876/,投诉,迷你世界-MiniWorld,退款,未成年儿童玩这款迷你世界游戏花费了2300多元，申请退款,已完成
598,极客鹿旗舰店虚假宣传产品材质信息,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355354996/,投诉,天猫,"退款,赔偿,道歉,作出处罚",我在杭州圣极电子商务有限公司天猫店铺“极客鹿旗舰店”购买一款“儿童袜子春秋纯棉新生幼婴儿可爱卡通秋季薄款男童宝宝”袜子。在宣传单页上第1和第2页宣称“纯棉宝宝袜”第5页宣称“儿童纯棉袜”宝贝详情页“A类纯棉童袜”。 收到货后，发现合格证标称“成分：棉80.3% 聚酯纤维18.1%氨纶1.6%”与标称不符。 商家欺诈消费者，虚假宣...,处理中
599,喜马拉雅儿童已协商退款，却出尔反尔,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355073222/,投诉,喜马拉雅FM客服,退款,我在2020年在习惯熊平台购买喜马拉雅儿童课程，由于孩子意外摔伤，无法打卡返现喜马拉雅儿童的课程。于是我提供所有孩子检查证明，喜马拉雅儿童同意退款。说他们同意，让我和习惯熊协商。我们三方已经多次沟通，最后一次习惯熊工作人员打电话说可以退款，得扣除他们的佣金，我同意了，但是到今天要退款得时候，习惯熊工...,已回复
600,爱奇艺漫画，爱奇艺会员随意扣款,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355055211/,投诉,爱奇艺小帮手,退款,儿童在不知情情况下，开通爱奇艺漫画会员，2个季度，扣款64.元开通爱奇艺扣款72元,已完成
601,办理送儿童手表套餐，实际与描述不符，不能全额打印发票。,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355237812/,投诉,中国移动10086,"快速处理,更改套餐,解除合约",本手机15274820***原套餐119元/月，原有副卡儿童手表套餐18元/月。中国移动工作人员称保持本套餐2年不变，其他方面包括话费流量均不会变化，可送儿童电话手表一个。办完后，出现以下问题：1、主附卡颠倒，主卡为儿童电话手表号码，副卡未本号码；2、套餐金额增加，本号码变成了78元/月，儿童电话手表号码变成了119元/月...,已回复
602,未成年儿童玩这款迷你世界游戏花费了2300多元，申请退款,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354783876/,投诉,迷你世界-MiniWorld,退款,未成年儿童玩这款迷你世界游戏花费了2300多元，申请退款,已完成
603,账号问题,2021-07-29,https://tousu.sina.com.cn/complaint/view/17354237894/,投诉,米兔儿童会员,退款,用了没几个月就不能用了，登录了显示不是这个账号，打电话找客服也没给处理，查账号消费记录什么的也没动静，客服也没给反馈！,处理中
604,喜马拉雅儿童已协商退款，却出尔反尔,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355073222/,投诉,喜马拉雅FM客服,退款,我在2020年在习惯熊平台购买喜马拉雅儿童课程，由于孩子意外摔伤，无法打卡返现喜马拉雅儿童的课程。于是我提供所有孩子检查证明，喜马拉雅儿童同意退款。说他们同意，让我和习惯熊协商。我们三方已经多次沟通，最后一次习惯熊工作人员打电话说可以退款，得扣除他们的佣金，我同意了，但是到今天要退款得时候，习惯熊工...,已回复
605,儿童充值香肠派对,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354776291/,投诉,心动网络客服,退款,10岁儿童充值游戏香肠派对，希望平台给予退款,已完成
606,爱奇艺漫画，爱奇艺会员随意扣款,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355055211/,投诉,爱奇艺小帮手,退款,儿童在不知情情况下，开通爱奇艺漫画会员，2个季度，扣款64.元开通爱奇艺扣款72元,已完成
607,广州天才星网络科技有限公司 诱导消费,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355038926/,投诉,小天才官方微博,"退款,赔偿,作出处罚,下架产品",小孩十一岁 偷偷拿她妈妈手机充值只只学园多达十四次 典型的诱导儿童消费,处理中
608,拼多多店铺售卖三无产品且无3c认证，联系平台客服不给处理,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355176733/,投诉,拼多多客户服务,赔偿,在拼多多购买儿童玩具到货后发现是三无产品且无3c认证，联系平台客服处理结果不好,处理中
609,要求漫威超级战争游戏退款,2021-10-04,https://tousu.sina.com.cn/complaint/view/17355110369/,投诉,漫威超级战争,退款,11岁儿童玩漫威超级战争充值，要求退款，客服也同意退款了一直没给退款,待分配
610,极客鹿旗舰店虚假宣传产品材质信息,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355354996/,投诉,天猫,"退款,赔偿,道歉,作出处罚",我在杭州圣极电子商务有限公司天猫店铺“极客鹿旗舰店”购买一款“儿童袜子春秋纯棉新生幼婴儿可爱卡通秋季薄款男童宝宝”袜子。在宣传单页上第1和第2页宣称“纯棉宝宝袜”第5页宣称“儿童纯棉袜”宝贝详情页“A类纯棉童袜”。 收到货后，发现合格证标称“成分：棉80.3% 聚酯纤维18.1%氨纶1.6%”与标称不符。 商家欺诈消费者，虚假宣...,处理中
611,卓美儿童戏剧(翠微路印象城店)，不给退学费,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355090158/,投诉,卓美教育,退款,诉求：要求卓美儿童英文戏剧，执行合同，退回1年学费。 简要经过：我在2021年9月16日，向卓美英文戏剧申请退款。卓美以当初特价学费为由，不退费。这在合同中并未写明。 名称：北京卓美时代国际文化有限公司 地址：卓美儿童戏剧(海淀区翠微路印象城店),处理中
612,未成年人6岁儿童在游戏我的安吉拉2大额不合理消费。,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355213377/,投诉,广州金科文化科技有限公司,退款,我的安吉拉2标注的是4岁以上儿童可以玩，所以我很放心给我6岁的女儿玩，结果到了月底查账单发现一个月不到，消费2700多元，实在无力承担，也超过了这个年龄段儿童的认知，她对于要扣费完全没有概念，我一个人带孩子，实在无力支付，请退款，谢谢。,处理中
613,新东方儿童馆大塘小鱼180天打卡骗局,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355481914/,投诉,新东方旗下大塘小鱼,"解除合约,追讨欠款",参加大塘小鱼的180天打卡活动，做到为其宣传等合同要求，酬劳是价值264元dk儿童英语套装及随时提现的60元。现在dk儿童英语套装无法提起申请；随时提现的60元以微信限额名义无法顺利提现，但是隔日我零点去申请依旧失败。客服电话微信均无回馈，大塘小鱼app所有网页加载时间均超过一分钟，怀疑欺诈。,处理中
614,未履行7天无理由退货,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355234735/,投诉,阿里客服,退货,购买的童车因为快递不收取，以及物流商家拒收为理由不处理7天无理由退货,处理中
615,之前退费一次！腾讯平台说第会禁止游戏登录！可怎么孩子又偷偷登录了游戏并第二次充值,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355243427/,投诉,腾讯游戏,退款,因为家长疏忽！造成未成年儿童二次充值！商家不予退费！希望平台能帮助我退还费用！,已回复
616,拼多多买的键盘发了两本书,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349721/,投诉,拼多多客户服务,退款,在拼多多买的达尔优键盘 结果给我发了两本儿童书 现在拼多多不给我退款,处理中
617,心动网络私自扣费，欺骗儿童消费，微信钱包查不到，只能在微信零钱里查,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355253902/,投诉,心动网络客服,"退款,赔偿,作出处罚",心动网络私自多次扣费，欺骗儿童消费，微信钱包里查不到，只能在零钱里看到,已回复
618,得物APP欺诈消费者,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355370251/,投诉,得物App客户服务,"赔偿,道歉,作出处罚,换货",产品未标注大童，我一个成年人买了顶帽子带不进去。浪费时间还要我自己垫钱,已回复
619,收到中国人寿短信,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355353777/,投诉,中国人寿,解释,收到短信，说我为自己投保的学生儿童保险已生效，还有合同号和链接，说次日可登录链接查询或下载电子保单,已回复
620,360游戏未成年儿童开通免密支付，流氓平台不给退款。客服不给处理,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355310224/,投诉,快剪辑,"退款,赔偿",360游戏未成年儿童开通免密支付。流氓平台不给处理退款，大家一起曝光,已回复
621,之前退费一次！腾讯平台说第会禁止游戏登录！可怎么孩子又偷偷登录了游戏并第二次充值,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355243427/,投诉,腾讯游戏,退款,因为家长疏忽！造成未成年儿童二次充值！商家不予退费！希望平台能帮助我退还费用！,已回复
622,收到中国人寿短信,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355353777/,投诉,中国人寿,解释,收到短信，说我为自己投保的学生儿童保险已生效，还有合同号和链接，说次日可登录链接查询或下载电子保单,已回复
623,360游戏未成年儿童开通免密支付，流氓平台不给退款。客服不给处理,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355310224/,投诉,快剪辑,"退款,赔偿",360游戏未成年儿童开通免密支付。流氓平台不给处理退款，大家一起曝光,已回复
624,莫名其妙给我发快递,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355381012/,投诉,圆通速递,"赔偿,道歉",浙江义乌童店给我发快递 我没有买快递 朋友也没有 非法获取我的信息地址手机号,已回复
625,得物APP欺诈消费者,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355370251/,投诉,得物App客户服务,"赔偿,道歉,作出处罚,换货",产品未标注大童，我一个成年人买了顶帽子带不进去。浪费时间还要我自己垫钱,已回复
626,拼多多买的键盘发了两本书,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349721/,投诉,拼多多客户服务,退款,在拼多多买的达尔优键盘 结果给我发了两本儿童书 现在拼多多不给我退款,处理中
627,未成年人玩游充值想追回,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355287095/,投诉,TelCheer广东天宸,退款,儿童玩游戏偷偷充值，几天时间就充值了7百多块钱，想把钱追回来,已完成
628,小天才电话手表梦想庄园，在家长不知情诱导儿童乱付款,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355482320/,投诉,小天才官方微博,退款,小天才电话手表梦想庄园软件。在没有得到家长认证，诱导儿童可以直接付款。,处理中
629,耐克童鞋店,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355075492/,投诉,小耐回复,"退款,赔偿,道歉,作出处罚,改善服务,换货,下架产品",3月底在沙河天虹耐克童鞋店给小孩买了一双童鞋，9月初发现鞋底脱胶，找商家，商家反馈过了3包，且厂家无法修复，补鞋匠无法修复，让我自己拿回，希望平台能介入让商家修复或者退换商品，天虹客服反馈，该店经常会遇到类似问题,已回复
630,移动免费送儿童手表保底消费套路,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355376429/,投诉,中国移动10086,"退货退款,费用减免,解除合约",我之前用128元套餐，保底消费98元免费送儿童手表，后面我更换198元套餐，因套餐有23元的优惠，莫名变成保底288元，用不到就就多扣钱，送手表的时候明确告知我保底送儿童手表，其实就是买100元的东西，我就顺便要了，现在每个月被多扣117元，套路太深了,已回复
631,虚假宣传 过度包装,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355431676/,投诉,联联周边游官微,退款,公众号看到的，过度夸张的吹捧，买票去了后，发现却是老年人集中泡澡的地方。更具有欺骗性的是，文章中儿童乐园到了后却说没有开放，但是有效期就是9月底之前的周一或者周二，他们儿童乐园却在十一开放！ 文中吹捧的美食根本不存在，都是廉价难吃的食品,处理中
632,未成年儿童充值,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355004555/,投诉,乐堂动漫公司,退款,未成年儿童充值游戏，一个月充值几百块钱，明显超出了国家规定,处理中
633,未详细标注，随意扣款,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355245273/,投诉,淘票票,退款,第一、未提示儿童身高在130厘米以下，可免票进入影院；导致购买电影 票多了。 第二、票买多了，申请退款，每张电影票收取5元退票费；但是平台默认 所有票全退，导致不需要退的票也被强行退回，并收取了退票费 用。 例如：2个大人带3个儿童在淘票票上购电影票，其中有1个儿童身高达130厘米了，其他...,处理中
634,十岁未成年儿童用老年人苹果手机充值关于迷你世界的迷你币高达四千多,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355019315/,投诉,迷你世界-MiniWorld,退款,十岁儿童用老人苹果手机在苹果商店充值高达四千多的迷你币，后来家长发现后通过苹果手机平台退款被拒绝两次，找了迷你世界客服推脱让找苹果商店退款，结果无效。。十岁儿童法律规定属于限制民事行为，所以这类充值属于无效的。。请平台给与合法处理，金额数值挺大的，很着急,已回复
635,拼多多代充不给退款,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354994708/,投诉,拼多多客户服务,退款,8月份充值的，9岁儿童绑定大人银行卡在拼多多代充迷你世界游戏币累计3500元，拼多多代充不给处理！,处理中
636,梦想庄园电话手表游戏诱骗儿童消费,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354770897/,投诉,梦想庄园官方微博,退款,儿童电话手表消费密码也不要消费提醒也没有家长完全不知情,已完成
637,诱导未成年人游戏充值,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355101501/,投诉,Apple支持,退款,诱导未成年人游戏充值，未成年儿童大额充值，孩子不知道怎么扣款的,处理中
638,深圳市天才世界科技，九猫智能儿童手表捆绑移动卡销售，无效卡付款了退款要求不理会,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355237386/,投诉,中国移动10086,退款,深圳市天才世界科技，九猫智能儿童手表捆绑移动卡销售，无效卡付款了退款要求不理会,已回复
639,此账号被未成年人误触充值,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355064977/,投诉,米哈游miHoYo,退款,家中8岁儿童误触，父母并不知情这笔游戏里的消费。孩子擅自用手机充值原神游戏。,处理中
640,未成年儿童在王者荣耀不理性消费不退款,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355405383/,投诉,王者荣耀客服,退款,我的孩子12岁，是未成年儿童。在王者荣耀不理性消费2658.77元，经王者荣耀客服处理后不退款,已回复
